Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Mo4Co4Mn4Fe4Ni4,Mo,Co,Mn,Fe,Ni,5,1.866,0.194792197,161.6,0.091332944,13.38151058,419.142,419.142,450.39,238.3996889,238.3996889,224.0844381,8.4462,9.4479,9.4675,5.671343,5.627714,7.271341,232.072061,9.283,-159.937451,0.137,-4.963,22.14,473.4,249.59,95.67,254.2,7.803,1904.11,1.2263,0.33,0.383
Tc4Co4Mn4Fe4Ni4,Tc,Co,Mn,Fe,Ni,5,1.814,0.134848063,160.2,0.075466074,13.38151058,410.902,410.902,475.21,242.5432048,242.5432048,214.3415811,8.0185,9.2067,9.2305,5.616662,5.6112,7.182426,226.362528,9.604,-158.007483,0.116,-5.125,24.67,527.4,261.98,121.8,316.07,11.543,2070.23,1.3669,0.299,0.465
Ru4Co4Mn4Fe4Ni4,Ru,Co,Mn,Fe,Ni,5,1.874,0.207132808,159.2,0.064230266,13.38151058,410.32,410.32,473.08,242.8754764,242.8754764,214.7453552,7.8828,9.256,9.284,5.601289,5.611078,7.141071,224.437418,9.751,-152.946683,0.147,-5.123,26.67,570.2,262.19,144.83,366.79,15.858,2209.3,1.4698,0.267,0.552
Rh4Co4Mn4Fe4Ni4,Rh,Co,Mn,Fe,Ni,5,1.89,0.233152311,158.2,0.053247635,13.38151058,432.27,432.27,463.518,234.0546091,234.0546091,217.5788048,8.3299,9.7113,9.7393,5.623066,5.615279,7.148586,225.715643,9.749,-145.506325,0.124,-4.915,26.04,556.8,248.81,138.73,350.85,15.573,2112.85,1.4321,0.265,0.558
Pd4Co4Mn4Fe4Ni4,Pd,Co,Mn,Fe,Ni,5,1.874,0.207132808,157.4,0.044852256,13.38151058,434.016,434.016,465.264,233.6929921,233.6929921,216.9384078,9.4226,10.6268,10.6506,5.669779,5.630588,7.216898,230.391265,9.653,-136.023149,0.189,-4.404,22.96,490.9,223.41,107.49,277.81,10.98,1826.84,1.2633,0.293,0.481
Ag4Co4Fe4Mn4Ni4,Ag,Co,Fe,Mn,Ni,5,1.82,0.139140217,156.6,0.037146972,13.38151058,437.908,437.908,469.156,233.0732622,233.0732622,215.7076015,18.8475,20.2074,20.2333,4.513198,6.816627,8.529744,245.317207,9.105,-123.1528,0.332,-4.013,17.36,371.3,107.18,60.23,151.94,8.697,1370.93,0.9226,0.263,0.562
Cd4Co4Fe4Mn4Ni4,Cd,Co,Fe,Mn,Ni,5,1.772,0.134223694,155.8,0.030755195,13.38151058,415.79,415.79,499.822,239.9573596,239.9573596,215.8079464,14.5158,15.4679,15.486,5.321838,5.998353,9.097184,265.20772,8.536,-117.673253,0.213,-3.776,16.57,354.3,132.5,53.77,141.83,5.545,1372.93,0.874,0.321,0.406
Hf4Co4Mn4Fe4Ni4,Hf,Co,Mn,Fe,Ni,5,1.694,0.234827596,165.2,0.13181123,13.38151058,420.13,420.13,488.472,237.9746601,237.9746601,213.7290274,14.6262,15.4308,15.4459,5.722259,5.775287,7.631085,252.13368,10.719,-157.646124,0.05,-5.075,15.19,324.8,141.04,54.96,145.89,5.38,1202.68,0.8181,0.328,0.39
Co4Fe4Mn4Ni4Ta4,Co,Fe,Mn,Ni,Ta,5,1.734,0.173274349,163.6,0.113934856,13.38151058,422.228,422.228,453.476,237.1242063,237.1242063,222.2936128,13.892,14.7887,14.8057,6.715007,6.860376,8.579574,246.48446,11.031,-164.952208,0.062,-5.439,16.44,351.5,151.08,65.61,171.82,6.887,1447.47,0.8885,0.31,0.434
Co4Fe4Mn4Ni4W4,Co,Fe,Mn,Ni,W,5,1.906,0.260507198,162.2,0.0981337,13.38151058,419.506,419.506,450.754,238.2412808,238.2412808,223.8651001,8.4143,9.159,9.1733,6.798642,6.786294,8.492303,236.253666,11.59,-168.70032,0.103,-5.417,19.19,410.4,251.47,90.36,241.61,6.962,2350.23,1.0573,0.34,0.359
